iter	Passed	Remaining
292	2695	984
293	2706	975
294	2714	966
295	2723	956
296	2732	947
297	2741	938
298	2750	929
299	2759	919
300	2768	910
301	2777	901
302	2786	892
303	2796	883
304	2804	873
305	2815	864
306	2827	856
307	2837	847
308	2847	838
309	2857	829
310	2868	821
311	2878	811
312	2888	802
313	2898	793
314	2908	784
315	2917	775
316	2925	766
317	2934	756
318	2942	747
319	2950	737
320	2960	728
321	2969	719
322	2980	710
323	2990	701
324	2999	692
325	3010	683
326	3020	674
327	3030	665
328	3039	655
329	3049	646
330	3058	637
331	3068	628
332	3077	619
333	3085	609
334	3094	600
335	3103	591
336	3113	581
337	3121	572
338	3132	563
339	3141	554
340	3151	545
341	3160	536
342	3172	527
343	3181	517
344	3190	508
345	3200	499
346	3211	490
347	3221	481
348	3231	472
349	3239	462
350	3249	453
351	3257	444
352	3266	434
353	3275	425
354	3284	416
355	3293	407
356	3303	397
357	3313	388
358	3322	379
359	3332	370
360	3342	361
361	3353	352
362	3363	342
363	3375	333
364	3386	324
365	3395	315
366	3405	306
367	3415	296
368	3423	287
369	3432	278
370	3442	269
371	3452	259
372	3463	250
373	3473	241
374	3483	232
375	3492	222
376	3502	213
377	3511	204
378	3524	195
379	3532	185
380	3541	176
381	3551	167
382	3561	158
383	3572	148
384	3581	139
385	3591	130
386	3600	120
387	3608	111
388	3617	102
389	3627	93
390	3636	83
391	3647	74
392	3658	65
393	3667	55
394	3677	46
395	3688	37
396	3697	27
397	3707	18
398	3718	9
399	3726	0
